yyyy,mm,tmin
1984,4,0.4
1984,5,1.7
1984,6,7.7
1984,7,8.8
1984,8,8.2
1984,9,6.1
1984,10,3.5
1984,11,2.2
1984,12,-0.1
1985,1,-4.9
1985,2,-3.7
1985,3,-1.7
1985,4,1.3
1985,5,3
1985,6,4.4
1985,7,9
1985,8,7.9
1985,9,6.5
1985,10,3.6
1985,11,-2.7
1985,12,-0.7
1986,1,-2.6
1986,2,-6.7
1986,3,-1.7
1986,4,-0.6
1986,5,4.4
1986,6,6.4
1986,7,8.3
1986,8,6.2
1986,9,5.2
1986,10,4.9
1986,11,1.2
1986,12,-0.3
1987,1,-4.6
1987,2,-2.6
1987,3,-2.9
1987,4,1.6
1987,5,3
1987,6,5
1987,7,9.5
1987,8,8.6
1987,9,5.4
1987,10,2.2
1987,11,1.3
1987,12,-0.6
1988,1,-1.1
1988,2,-0.4
1988,3,-0.6
1988,4,0.8
1988,5,3.6
1988,6,7.7
1988,7,9
1988,8,8.6
1988,9,7.1
1988,10,3.4
1988,11,0.6
1988,12,2.7
1989,1,2.6
1989,2,-0.4
1989,3,0.2
1989,4,0.2
1989,5,4.5
1989,6,6
1989,7,9.5
1989,8,8.8
1989,9,6.2
1989,10,4.7
1989,11,1
1989,12,-3.7
1990,1,0.8
1990,2,0.6
1990,3,2.6
1990,4,1.2
1990,5,4.3
1990,6,6.9
1990,7,8.5
1990,8,9.6
1990,9,6.2
1990,10,5.3
1990,11,0.7
1990,12,-1.2
1991,1,-2.3
1991,2,-2.9
1991,3,0
1991,4,1.3
1991,5,5
1991,6,5.6
1991,7,10.5
1991,8,9.5
1991,9,5.8
1991,10,3.7
1991,11,1.4
1991,12,-0.7
1992,1,-2.1
1992,2,0
1992,3,1.5
1992,4,1.6
1992,5,4.6
1992,6,8
1992,7,8.8
1992,8,6.9
1992,9,6.3
1992,10,0.5
1992,11,0.3
1992,12,-2.4
1993,1,-0.6
1993,2,2.2
1993,3,0
1993,4,2.2
1993,5,3.5
1993,6,7.9
1993,7,7.8
1993,8,7.1
1993,9,4.3
1993,10,1
1993,11,-2.4
1993,12,-2.4
1994,1,-0.9
1994,2,-2.4
1994,3,-0.1
1994,4,1.6
1994,5,2
1994,6,7
1994,7,9.1
1994,8,7.9
1994,9,5.4
1994,10,2.8
1994,11,3.8
1994,12,0.4
1995,1,-2.1
1995,2,-1.3
1995,3,-2.2
1995,4,1.2
1995,5,3.3
1995,6,6.3
1995,7,9.1
1995,8,8.1
1995,9,6.5
1995,10,5.5
1995,11,2
1995,12,-5.2
1996,1,0.9
1996,2,-3.2
1996,3,-0.7
1996,4,2.5
1996,5,1.9
1996,6,6.9
1996,7,8.3
1996,8,9.5
1996,9,6
1996,10,5.3
1996,11,-1.4
1996,12,-2.4
1997,1,-2.6
1997,2,-0.3
1997,3,2.2
1997,4,2
1997,5,3.8
1997,6,6.1
1997,7,8.4
1997,8,9.3
1997,9,5.4
1997,10,3.4
1997,11,3.4
1997,12,0.9
1998,1,-0.5
1998,2,4
1998,3,0.5
1998,4,0.5
1998,5,4.6
1998,6,6.3
1998,7,8.4
1998,8,8.6
1998,9,7.5
1998,10,2.8
1998,11,-0.7
1998,12,-0.1
1999,1,-0.4
1999,2,-1.2
1999,3,0.4
1999,4,2.1
1999,5,5.1
1999,6,6.6
1999,7,0
1999,8,6.6
1999,9,7.7
1999,10,5
1999,11,2.2
1999,12,-2.2
2000,1,0.4
2000,2,-0.4
2000,3,1.1
2000,4,0.9
2000,5,3.4
2000,6,6.1
2000,7,7.6
2000,8,8
2000,9,7
2000,10,4.3
2000,11,1.1
2000,12,0.7
2001,1,-2.8
2001,2,-2.3
2001,3,-2.4
2001,4,0.9
2001,5,4
2001,6,6.3
2001,7,9.2
2001,8,8.3
2001,9,7
2001,10,7.9
2001,11,1.4
2001,12,-2.1
2002,1,-0.2
2002,2,-0.2
2002,3,0.5
2002,4,1.9
2002,5,4.5
2002,6,7.9
2002,7,8.9
